label,newspaper,year,rel_bias,topic
Le Figaro_2002,Le Figaro,2002,0.004194151610136032,lgbt
Le Figaro_2003,Le Figaro,2003,0.010031204670667648,lgbt
Le Figaro_2004,Le Figaro,2004,0.015119541436433792,lgbt
Le Figaro_2005,Le Figaro,2005,0.006224583834409714,lgbt
Le Figaro_2006,Le Figaro,2006,0.02416263148188591,lgbt
Le Figaro_2007,Le Figaro,2007,0.010575596243143082,lgbt
Le Figaro_2008,Le Figaro,2008,0.007338173687458038,lgbt
Le Figaro_2009,Le Figaro,2009,0.010332722216844559,lgbt
Le Figaro_2010,Le Figaro,2010,0.0022483132779598236,lgbt
Le Figaro_2011,Le Figaro,2011,0.020120736211538315,lgbt
Le Figaro_2012,Le Figaro,2012,0.03573087602853775,lgbt
Le Figaro_2013,Le Figaro,2013,0.028438705950975418,lgbt
Le Figaro_2014,Le Figaro,2014,0.030042067170143127,lgbt
Le Figaro_2015,Le Figaro,2015,0.010593175888061523,lgbt
Le Figaro_2016,Le Figaro,2016,0.020912203937768936,lgbt
Le Figaro_2017,Le Figaro,2017,0.029176808893680573,lgbt
Le Figaro_2018,Le Figaro,2018,0.007946591824293137,lgbt
Le Figaro_2019,Le Figaro,2019,0.017933513969182968,lgbt
Le Figaro_2020,Le Figaro,2020,0.01534341648221016,lgbt
Le Figaro_2021,Le Figaro,2021,0.018552232533693314,lgbt
Le Monde_2002,Le Monde,2002,-0.015598053927533329,lgbt
Le Monde_2003,Le Monde,2003,-0.014488038374111056,lgbt
Le Monde_2004,Le Monde,2004,0.004573803395032883,lgbt
Le Monde_2005,Le Monde,2005,-0.008070823736488819,lgbt
Le Monde_2006,Le Monde,2006,-0.007789574563503265,lgbt
Le Monde_2007,Le Monde,2007,-0.0035261232405900955,lgbt
Le Monde_2008,Le Monde,2008,-0.011162393726408482,lgbt
Le Monde_2009,Le Monde,2009,-0.015598845260683447,lgbt
Le Monde_2010,Le Monde,2010,-0.01350083900615573,lgbt
Le Monde_2011,Le Monde,2011,-0.008824421558529139,lgbt
Le Monde_2012,Le Monde,2012,0.010124165564775467,lgbt
Le Monde_2013,Le Monde,2013,0.006292372941970825,lgbt
Le Monde_2014,Le Monde,2014,-0.0034418925642967224,lgbt
Le Monde_2015,Le Monde,2015,-0.008989909198135138,lgbt
Le Monde_2016,Le Monde,2016,-0.0029956307262182236,lgbt
Le Monde_2017,Le Monde,2017,-0.004230323247611523,lgbt
Le Monde_2018,Le Monde,2018,-0.008599891792982817,lgbt
Le Monde_2019,Le Monde,2019,-0.006945044733583927,lgbt
Le Monde_2020,Le Monde,2020,-0.008106489665806293,lgbt
Le Monde_2021,Le Monde,2021,-0.006629933603107929,lgbt
Le Monde_2022,Le Monde,2022,-0.018987190211191773,lgbt
